Fecha,Local,Visitante,Goles L,Goles V,Torneo
07/06/2026,Dinamarca,Ucrania,2,1,Amistosos Internacionales
07/06/2026,Omán,Mozambique,4,1,Amistosos Internacionales
06/06/2026,Argentina,Honduras,2,0,Amistosos Internacionales
06/06/2026,Curazao,Aruba,4,0,Amistosos Internacionales
06/06/2026,Brasil,Egipto,2,1,Amistosos Internacionales
06/06/2026,Venezuela,Turquía,1,2,Amistosos Internacionales
06/06/2026,Jamaica,Sudáfrica,1,1,Amistosos Internacionales
06/06/2026,Cabo Verde,Bermudas,3,0,Amistosos Internacionales
06/06/2026,Bolivia,Escocia,0,4,Amistosos Internacionales
06/06/2026,Catar,El Salvador,0,0,Amistosos Internacionales
06/06/2026,Inglaterra,Nueva Zelanda,1,0,Amistosos Internacionales
06/06/2026,Suiza,Australia,1,1,Amistosos Internacionales
06/06/2026,Panamá,Bosnia-Herzegovina,1,1,Amistosos Internacionales
06/06/2026,EE. UU.,Alemania,1,2,Amistosos Internacionales
06/06/2026,Albania,Luxemburgo,0,1,Amistosos Internacionales
06/06/2026,Portugal,Chile,2,1,Amistosos Internacionales
06/06/2026,Rumanía,Gales,2,1,Amistosos Internacionales
06/06/2026,Kirguistán,Palestina,0,0,Amistosos Internacionales
06/06/2026,Bélgica,Túnez,5,0,Amistosos Internacionales
05/06/2026,Haití,Perú,1,2,Amistosos Internacionales
05/06/2026,Canadá,Irlanda,1,1,Amistosos Internacionales
05/06/2026,Puerto Rico,Arabia Saudí,0,3,Amistosos Internacionales
05/06/2026,Paraguay,Nicaragua,4,0,Amistosos Internacionales
05/06/2026,Angola,Mauritania,1,1,Amistosos Internacionales
05/06/2026,Benín,Níger,1,1,Amistosos Internacionales
05/06/2026,Hungría,Finlandia,2,1,Amistosos Internacionales
05/06/2026,Moldavia,Bulgaria,2,2,Amistosos Internacionales
05/06/2026,Rusia,Burkina Faso,3,0,Amistosos Internacionales
05/06/2026,Eslovaquia,Montenegro,2,2,Amistosos Internacionales
05/06/2026,Bielorrusia,Siria,4,1,Amistosos Internacionales
05/06/2026,Indonesia,Omán,3,0,Amistosos Internacionales
05/06/2026,Tailandia,Kuwait,2,2,Amistosos Internacionales
05/06/2026,Singapur,China,1,2,Amistosos Internacionales
04/06/2026,México,Serbia,5,1,Amistosos Internacionales
04/06/2026,República Checa,Guatemala,3,1,Amistosos Internacionales
04/06/2026,Francia,Costa de Marfil,1,2,Amistosos Internacionales
04/06/2026,España,Irak,1,1,Amistosos Internacionales
04/06/2026,Andorra,Liechtenstein,2,0,Amistosos Internacionales
04/06/2026,Suecia,Grecia,2,2,Amistosos Internacionales
04/06/2026,Irán,Mali,2,0,Amistosos Internacionales
04/06/2026,Eslovenia,Chipre,1,1,Amistosos Internacionales
04/06/2026,Irlanda del Norte,Guinea,1,0,Amistosos Internacionales
03/06/2026,Corea del Sur,El Salvador,1,0,Amistosos Internacionales
03/06/2026,Panamá,República Dominicana,4,2,Amistosos Internacionales
03/06/2026,Países Bajos,Argelia,0,1,Amistosos Internacionales
03/06/2026,Luxemburgo,Italia,0,1,Amistosos Internacionales
03/06/2026,Polonia,Nigeria,2,2,Amistosos Internacionales
03/06/2026,Albania,Israel,0,1,Amistosos Internacionales
03/06/2026,RD Congo,Dinamarca,0,0,Amistosos Internacionales
02/06/2026,Haití,Nueva Zelanda,4,0,Amistosos Internacionales
02/06/2026,Gales,Ghana,1,1,Amistosos Internacionales
02/06/2026,Marruecos,Madagascar,4,0,Amistosos Internacionales
02/06/2026,Georgia,Rumanía,1,1,Amistosos Internacionales
02/06/2026,Croacia,Bélgica,0,2,Amistosos Internacionales
01/06/2026,Canadá,Uzbekistán,2,0,Amistosos Internacionales
01/06/2026,Colombia,Costa Rica,3,1,Amistosos Internacionales
01/06/2026,Austria,Túnez,1,0,Amistosos Internacionales
01/06/2026,Turquía,Macedonia del Norte,4,0,Amistosos Internacionales
01/06/2026,Noruega,Suecia,3,1,Amistosos Internacionales
01/06/2026,Bulgaria,Montenegro,0,1,Amistosos Internacionales
01/06/2026,Eslovaquia,Malta,2,1,Amistosos Internacionales
31/05/2026,Brasil,Panamá,6,2,Amistosos Internacionales
31/05/2026,EE. UU.,Senegal,3,2,Amistosos Internacionales
31/05/2026,Alemania,Finlandia,4,0,Amistosos Internacionales
31/05/2026,Polonia,Ucrania,0,2,Amistosos Internacionales
31/05/2026,Cabo Verde,Serbia,3,0,Amistosos Internacionales
31/05/2026,República Checa,Kosovo,2,1,Amistosos Internacionales
31/05/2026,Suiza,Jordania,4,1,Amistosos Internacionales
31/05/2026,Singapur,Mongolia,4,0,Amistosos Internacionales
31/05/2026,Japón,Islandia,1,0,Amistosos Internacionales
30/05/2026,México,Australia,1,0,Amistosos Internacionales
30/05/2026,Corea del Sur,Trinidad y Tobago,5,0,Amistosos Internacionales
30/05/2026,Ecuador,Arabia Saudí,2,1,Amistosos Internacionales
30/05/2026,Jamaica,Nigeria,0,3,Amistosos Internacionales
30/05/2026,Escocia,Curazao,4,1,Amistosos Internacionales
29/05/2026,Bosnia-Herzegovina,Macedonia del Norte,0,0,Amistosos Internacionales
29/05/2026,Irak,Andorra,1,0,Amistosos Internacionales
29/05/2026,Sudáfrica,Nicaragua,0,0,Amistosos Internacionales
29/05/2026,Irán,Gambia,3,1,Amistosos Internacionales
